<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,17/09/18,13:22,108050.0000000,108050.0000000,108020.0000000,108020.0000000,11
SPFB.RTS-12.18,1,17/09/18,13:23,108010.0000000,108020.0000000,108000.0000000,108000.0000000,22
SPFB.RTS-12.18,1,17/09/18,13:24,107990.0000000,108010.0000000,107990.0000000,108010.0000000,7
SPFB.RTS-12.18,1,17/09/18,13:25,108020.0000000,108040.0000000,107990.0000000,108040.0000000,120
SPFB.RTS-12.18,1,17/09/18,13:26,108030.0000000,108030.0000000,107980.0000000,107980.0000000,18
SPFB.RTS-12.18,1,17/09/18,13:27,108000.0000000,108010.0000000,107980.0000000,108000.0000000,17
SPFB.RTS-12.18,1,17/09/18,13:28,108000.0000000,108010.0000000,107980.0000000,108000.0000000,30
SPFB.RTS-12.18,1,17/09/18,13:29,108010.0000000,108050.0000000,108010.0000000,108050.0000000,63
SPFB.RTS-12.18,1,17/09/18,13:30,108050.0000000,108070.0000000,108040.0000000,108040.0000000,55
SPFB.RTS-12.18,1,17/09/18,13:31,108030.0000000,108040.0000000,108030.0000000,108040.0000000,3
SPFB.RTS-12.18,1,17/09/18,13:32,108020.0000000,108070.0000000,108020.0000000,108070.0000000,39
SPFB.RTS-12.18,1,17/09/18,13:33,108080.0000000,108100.0000000,108040.0000000,108040.0000000,53
SPFB.RTS-12.18,1,17/09/18,13:34,108080.0000000,108110.0000000,108080.0000000,108100.0000000,55
SPFB.RTS-12.18,1,17/09/18,13:35,108110.0000000,108110.0000000,108020.0000000,108020.0000000,118
SPFB.RTS-12.18,1,17/09/18,13:36,108020.0000000,108030.0000000,107970.0000000,107980.0000000,30
SPFB.RTS-12.18,1,17/09/18,13:37,108000.0000000,108020.0000000,108000.0000000,108020.0000000,13
SPFB.RTS-12.18,1,17/09/18,13:38,108050.0000000,108060.0000000,108050.0000000,108060.0000000,6
SPFB.RTS-12.18,1,17/09/18,13:39,108020.0000000,108020.0000000,108010.0000000,108010.0000000,4
SPFB.RTS-12.18,1,17/09/18,13:40,108000.0000000,108010.0000000,107970.0000000,107980.0000000,5
SPFB.RTS-12.18,1,17/09/18,13:41,108010.0000000,108020.0000000,108000.0000000,108020.0000000,4
SPFB.RTS-12.18,1,17/09/18,13:42,108010.0000000,108010.0000000,107980.0000000,107980.0000000,4
SPFB.RTS-12.18,1,17/09/18,13:43,107970.0000000,108010.0000000,107970.0000000,108010.0000000,5
SPFB.RTS-12.18,1,17/09/18,13:44,108020.0000000,108030.0000000,108000.0000000,108000.0000000,11
SPFB.RTS-12.18,1,17/09/18,13:45,108020.0000000,108020.0000000,108000.0000000,108000.0000000,21
SPFB.RTS-12.18,1,17/09/18,13:46,108020.0000000,108050.0000000,108000.0000000,108050.0000000,6
SPFB.RTS-12.18,1,17/09/18,13:47,108050.0000000,108070.0000000,108050.0000000,108060.0000000,7
SPFB.RTS-12.18,1,17/09/18,13:48,108020.0000000,108050.0000000,108010.0000000,108010.0000000,10
SPFB.RTS-12.18,1,17/09/18,13:49,108030.0000000,108050.0000000,108030.0000000,108050.0000000,8
SPFB.RTS-12.18,1,17/09/18,13:50,108020.0000000,108040.0000000,108020.0000000,108040.0000000,2
SPFB.RTS-12.18,1,17/09/18,13:51,108040.0000000,108050.0000000,108040.0000000,108050.0000000,6
SPFB.RTS-12.18,1,17/09/18,13:52,108050.0000000,108070.0000000,108030.0000000,108070.0000000,11
SPFB.RTS-12.18,1,17/09/18,13:53,108040.0000000,108070.0000000,108040.0000000,108070.0000000,7
SPFB.RTS-12.18,1,17/09/18,13:54,108050.0000000,108050.0000000,108010.0000000,108010.0000000,101
SPFB.RTS-12.18,1,17/09/18,13:55,108030.0000000,108030.0000000,108030.0000000,108030.0000000,1
SPFB.RTS-12.18,1,17/09/18,13:56,108020.0000000,108040.0000000,108020.0000000,108040.0000000,4
SPFB.RTS-12.18,1,17/09/18,13:57,108070.0000000,108100.0000000,108070.0000000,108100.0000000,2
SPFB.RTS-12.18,1,17/09/18,13:58,108090.0000000,108210.0000000,108090.0000000,108150.0000000,240
SPFB.RTS-12.18,1,17/09/18,13:59,108130.0000000,108130.0000000,108060.0000000,108080.0000000,40
SPFB.RTS-12.18,1,17/09/18,14:00,108080.0000000,108080.0000000,108040.0000000,108040.0000000,17
SPFB.RTS-12.18,1,17/09/18,14:06,108110.0000000,108110.0000000,108070.0000000,108100.0000000,8
SPFB.RTS-12.18,1,17/09/18,14:07,108050.0000000,108050.0000000,108000.0000000,108000.0000000,15
SPFB.RTS-12.18,1,17/09/18,14:08,108000.0000000,108010.0000000,107990.0000000,108010.0000000,15
SPFB.RTS-12.18,1,17/09/18,14:09,108020.0000000,108070.0000000,108020.0000000,108040.0000000,5
SPFB.RTS-12.18,1,17/09/18,14:10,108040.0000000,108130.0000000,108040.0000000,108130.0000000,24
SPFB.RTS-12.18,1,17/09/18,14:11,108150.0000000,108150.0000000,108110.0000000,108110.0000000,178
SPFB.RTS-12.18,1,17/09/18,14:12,108110.0000000,108160.0000000,108110.0000000,108110.0000000,25
SPFB.RTS-12.18,1,17/09/18,14:13,108130.0000000,108140.0000000,108090.0000000,108090.0000000,41
SPFB.RTS-12.18,1,17/09/18,14:14,108100.0000000,108130.0000000,108090.0000000,108090.0000000,15
SPFB.RTS-12.18,1,17/09/18,14:15,108100.0000000,108100.0000000,108080.0000000,108080.0000000,14
SPFB.RTS-12.18,1,17/09/18,14:16,108050.0000000,108060.0000000,108050.0000000,108050.0000000,108
